t1,t2,corr,coint_p,adf_p,hedge_beta,half_life,sharpe,maxdd,num_trades,cumret
SWK,TEL,0.7762134338611213,0.031187752536901578,0.007704840163158119,1.4915656479875121,16.725906380679366,1.2353074048758281,-0.08309144321346618,199.32525183900097,0.5102945707646291
CFG,RF,0.9333686143401666,0.04083528676151943,0.010564061857077848,2.2186253137297376,25.301481036972145,1.1193529435886593,-0.15227542852247566,270.36452635329795,0.9063816579574859
KEY,NTRS,0.7938695270126802,0.004807575563167944,0.0009068246192849991,0.24880564884713802,16.251520622337733,1.0146942815381086,-0.10281080788056962,79.92356152621683,0.4762667404659746
PEP,PG,0.7582266450112989,0.021944967985450023,0.005130761190205946,0.6387778905167976,14.712176654145871,0.977277235843267,-0.03492877640814629,154.045121708579,0.1873486774332085
CCI,SBAC,0.8286918305213793,0.04346340638256326,0.011412213171534456,0.3804909673739977,13.885679584540892,0.7611027636821983,-0.0667141720621739,107.67829545517182,0.16811400396364373
MA,V,0.9268179273003906,0.008017744780944275,0.001612472463877067,1.9081011055162562,9.69127711972488,0.6911278943919285,-0.10830048191867414,238.46429065233303,0.2061130632331536
AVB,EQR,0.9168239493983731,0.03899138745709704,0.009999138299506554,2.233055585459172,19.32795604495925,0.60774878154351,-0.17321751790149598,258.6444468367338,0.30269505470750246
DLR,EQIX,0.7521000321237491,0.011473283342227967,0.0024227557529345627,0.11544595852700586,13.114463880301008,0.5969654525364287,-0.08849929173769167,87.00478476510645,0.18311247980116252
GL,JPM,0.8414682718876905,2.938685898640778e-05,3.5416131143355763e-06,0.7787974500336672,9.997407143351309,0.5360398264715001,-0.1014482505464257,156.5341756029627,0.12047704526518399
D,ES,0.8207774657403634,0.001727597269456725,0.0002915869761371326,0.5328039153358928,12.198603570233185,0.515798649922068,-0.11130274713523647,131.82113671888675,0.13365854758988793
CFG,NTRS,0.7712720229662611,0.02513093253249051,0.005956493084348982,0.5208211039740105,20.55189568862336,0.4515414624739145,-0.12802077602762296,127.74897273381688,0.18825791247516266
AME,IEX,0.7845348284914606,0.014961414814826731,0.003345628607368008,0.6918420095999593,15.129684532897356,0.3910637479093233,-0.06317470672365788,159.0331489023962,0.08042657629898176
D,WEC,0.7817906569578282,0.007185102277138146,0.001401211660806947,0.4548752550799394,12.014874308139323,0.37202393316248017,-0.11244964707200544,113.48026989623527,0.10453100880008348
CPT,DOC,0.8048283379571279,0.0034126341776439125,0.0006187529421742017,2.4390306232819854,10.738983824350242,0.3091808770898642,-0.3451000308893356,261.3663273694309,0.15359252698135606
MAR,MGM,0.7727394563282114,0.014971741044557616,0.0032862569022621834,2.995778496076333,19.065324734856517,0.30238220470106897,-0.5791722729686037,287.69605171749595,0.05847786762146656
CAT,URI,0.7509816813556124,0.0020133071429486444,0.00034459827432024344,0.45247349793434655,13.719890080508717,0.30138341191867757,-0.0868189958950476,122.0077738264851,0.08055662740301428
AME,DOV,0.7938269726064946,0.03254779557469883,0.00811156841780133,0.8474127255259918,19.855850688613597,0.279095067962347,-0.08571398928351781,121.92923988471546,0.057431131507296396
PH,PWR,0.7593042578744147,0.004037318535504612,0.0007340087632459552,2.7302660817775557,24.038069302199418,0.26361916005448216,-0.29941312910724527,328.2634151964249,0.11705130983549972
MCHP,MPWR,0.7526823068649273,0.010377961420977506,0.0021435664844872693,0.09385133273732345,33.079790032486436,0.21111957396227632,-0.15140141453126954,102.8220252773084,0.06733294391795641
MDLZ,PEP,0.7734392639120268,0.004702601871999806,0.0008834810618555108,0.4409441024545069,12.295792190030964,0.20511364854596353,-0.07566526398568751,106.62986358163349,0.026513505286222427
D,XEL,0.7979697846798172,0.03173813956617541,0.0078071607760336675,0.6567030947347452,13.352612297951833,0.1109504245014576,-0.14271938176708565,135.8496537682491,0.018072713358967096
NTRS,RF,0.7634803124608093,0.006579929020568735,0.0012913936479549534,3.6135833422680124,14.592602854507733,0.07447555217163866,-0.5475803325653177,322.9508339587609,-0.1441113142482635
HBAN,NTRS,0.7676968827712668,0.025227869178155133,0.0060084138993086855,0.1738152360021617,24.649203523768534,0.07092121085554115,-0.1674734416839876,89.20995793616429,0.0017229989282556701
SYF,TFC,0.7867730092089315,0.011477608174621581,0.002401443131426773,0.9075307157446248,23.03842498871078,0.021345414985971676,-0.14759425921439817,148.78739582808072,-0.007521495058630867
COF,PNC,0.8398623096969822,0.00208361002332976,0.00035726024858227524,0.8323850439296763,18.07965646417004,0.021042029826124745,-0.14980136747483497,150.25557360223345,-0.006031228986990711
EOG,OXY,0.7717074728117779,0.003962406721377058,0.0007306435141271576,1.005091571001071,15.250673690155729,0.01482340103766672,-0.19679258679858125,160.4073256800857,-0.018207827037092006
NTRS,RJF,0.813070938780387,0.03597599270850945,0.009189966276071378,1.2768981551486291,23.584578653143048,0.00662175437199337,-0.2511344210649389,173.04425979129581,-0.021850866875059327
MET,TFC,0.830726302065419,0.04504821771271871,0.01187539713537604,0.7941881782227951,23.103620839679756,-0.0062018241349395134,-0.1346758993225181,143.53505425782362,-0.01788510930397158
LRCX,TER,0.7814484969829331,0.005478123974108192,0.0010507426301175353,0.38459923124517303,13.900506187376815,-0.01286511007879985,-0.18381364456787674,121.84473234957522,-0.03675387116942275
NSC,UNP,0.840660974064847,0.005447305831912202,0.0010435153402977846,1.2086392051772565,15.985464923308843,-0.03396353079307593,-0.07489633512827631,181.10841482453503,-0.012806171289218349
BAC,PNC,0.8987161082793486,0.022936497667144628,0.005381216755198924,0.19376358752272133,19.659559603046073,-0.04408685294748635,-0.12444736131330025,93.11355982677225,-0.02517779745694182
